college_name,city,state,type,course,branch,nirf_rank,avg_package,jee_cutoff
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Electrical Engineering,1,19.4,1885
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Computer Science & Engineering,1,19.5,379
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Artificial Intelligence & Machine Learning,1,18.5,316
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Aerospace Engineering,1,14.2,691
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Petroleum Engineering,1,18.0,1534
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Electronics & Communication Engineering,1,14.0,1649
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Biotechnology,1,19.0,1830
Indian Institute of Technology Madras,Chennai,Tamil Nadu,Govt,B.Tech,Information Technology,1,21.7,314
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Production Engineering,3,21.6,940
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Artificial Intelligence & Machine Learning,3,19.7,272
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Computer Science & Engineering,3,19.6,294
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Civil Engineering,3,18.0,1204
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Industrial Engineering,3,19.3,588
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Petroleum Engineering,3,13.2,1598
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Mechanical Engineering,3,12.8,1275
Indian Institute of Technology Bombay,Mumbai,Maharashtra,Govt,B.Tech,Electronics & Communication Engineering,3,20.3,1100
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Automobile Engineering,4,21.9,1092
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Biotechnology,4,20.7,976
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Chemical Engineering,4,14.8,1278
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Electronics & Communication Engineering,4,20.3,1801
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Information Technology,4,24.3,183
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Cyber Security,4,29.4,207
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Electrical Engineering,4,21.4,1937
Indian Institute of Technology Delhi,New Delhi,Delhi,Govt,B.Tech,Biomedical Engineering,4,12.7,1827
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Civil Engineering,5,17.6,1909
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,Govt,B.Tech,Textile Engineering,5,15.2,1902
